/SD/trace4.txt	 create by Vincent
-----------------------
{'time': 7, 'latitude': 22.61804, 'longitude': 113.835, 'index': 1}
{'time': 13, 'latitude': 22.61804, 'longitude': 113.835, 'index': 2}
{'time': 19, 'latitude': 22.61804, 'longitude': 113.835, 'index': 3}
{'time': 25, 'latitude': 22.61804, 'longitude': 113.835, 'index': 4}
{'time': 31, 'latitude': 22.61796, 'longitude': 113.8351, 'index': 5}
{'time': 37, 'latitude': 22.6177, 'longitude': 113.8352, 'index': 6}
{'time': 44, 'latitude': 22.61746, 'longitude': 113.8353, 'index': 7}
{'time': 50, 'latitude': 22.61721, 'longitude': 113.8354, 'index': 8}
{'time': 56, 'latitude': 22.61702, 'longitude': 113.8355, 'index': 9}
{'time': 62, 'latitude': 22.61684, 'longitude': 113.8356, 'index': 10}
{'time': 68, 'latitude': 22.61661, 'longitude': 113.8357, 'index': 11}
{'time': 74, 'latitude': 22.61636, 'longitude': 113.8358, 'index': 12}
{'time': 81, 'latitude': 22.61613, 'longitude': 113.8359, 'index': 13}
{'time': 87, 'latitude': 22.61585, 'longitude': 113.836, 'index': 14}
{'time': 93, 'latitude': 22.61554, 'longitude': 113.8361, 'index': 15}
{'time': 99, 'latitude': 22.61533, 'longitude': 113.8363, 'index': 16}
{'time': 105, 'latitude': 22.61518, 'longitude': 113.8362, 'index': 17}
{'time': 111, 'latitude': 22.61508, 'longitude': 113.8359, 'index': 18}
{'time': 118, 'latitude': 22.61506, 'longitude': 113.8356, 'index': 19}
{'time': 124, 'latitude': 22.615, 'longitude': 113.8354, 'index': 20}
{'time': 130, 'latitude': 22.61488, 'longitude': 113.835, 'index': 21}
{'time': 136, 'latitude': 22.61474, 'longitude': 113.8347, 'index': 22}
{'time': 142, 'latitude': 22.61458, 'longitude': 113.8343, 'index': 23}
{'time': 149, 'latitude': 22.61443, 'longitude': 113.8339, 'index': 24}
{'time': 155, 'latitude': 22.61422, 'longitude': 113.8337, 'index': 25}
{'time': 161, 'latitude': 22.61394, 'longitude': 113.8337, 'index': 26}
{'time': 167, 'latitude': 22.61365, 'longitude': 113.8337, 'index': 27}
{'time': 173, 'latitude': 22.61338, 'longitude': 113.8337, 'index': 28}
{'time': 179, 'latitude': 22.61307, 'longitude': 113.8338, 'index': 29}
{'time': 186, 'latitude': 22.61268, 'longitude': 113.834, 'index': 30}
{'time': 192, 'latitude': 22.61232, 'longitude': 113.8342, 'index': 31}
{'time': 198, 'latitude': 22.61198, 'longitude': 113.8343, 'index': 32}
{'time': 204, 'latitude': 22.61172, 'longitude': 113.8345, 'index': 33}
{'time': 210, 'latitude': 22.61162, 'longitude': 113.8347, 'index': 34}
{'time': 216, 'latitude': 22.61172, 'longitude': 113.8348, 'index': 35}
{'time': 223, 'latitude': 22.61182, 'longitude': 113.8347, 'index': 36}
{'time': 229, 'latitude': 22.6118, 'longitude': 113.8347, 'index': 37}
{'time': 235, 'latitude': 22.61177, 'longitude': 113.8346, 'index': 38}
