/SD/trace428.txt	 create by Vincent
-----------------------
{'time': 7, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 1}
{'time': 13, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 2}
{'time': 19, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 3}
{'time': 25, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 4}
{'time': 31, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 5}
{'time': 37, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 6}
{'time': 44, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 7}
{'time': 50, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 8}
{'time': 56, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 9}
{'time': 62, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 10}
{'time': 68, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 11}
{'time': 74, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 12}
{'time': 81, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 13}
{'time': 87, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 14}
{'time': 93, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 15}
{'time': 99, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 16}
{'time': 105, 'latitude': 'NULL', 'longitude': 'NULL', 'index': 17}
{'time': 111, 'latitude': 22.61163, 'longitude': 113.8348, 'index': 18}
{'time': 118, 'latitude': 22.61165, 'longitude': 113.8348, 'index': 19}
{'time': 124, 'latitude': 22.61165, 'longitude': 113.8348, 'index': 20}
{'time': 130, 'latitude': 22.61167, 'longitude': 113.8348, 'index': 21}
{'time': 136, 'latitude': 22.61168, 'longitude': 113.8347, 'index': 22}
{'time': 142, 'latitude': 22.61173, 'longitude': 113.8346, 'index': 23}
{'time': 148, 'latitude': 22.61174, 'longitude': 113.8346, 'index': 24}
{'time': 155, 'latitude': 22.61174, 'longitude': 113.8347, 'index': 25}
{'time': 161, 'latitude': 22.61174, 'longitude': 113.8347, 'index': 26}
{'time': 167, 'latitude': 22.61176, 'longitude': 113.8346, 'index': 27}
{'time': 173, 'latitude': 22.61177, 'longitude': 113.8346, 'index': 28}
{'time': 179, 'latitude': 22.61176, 'longitude': 113.8346, 'index': 29}
{'time': 185, 'latitude': 22.61172, 'longitude': 113.8347, 'index': 30}
{'time': 192, 'latitude': 22.61172, 'longitude': 113.8347, 'index': 31}
{'time': 198, 'latitude': 22.61173, 'longitude': 113.8347, 'index': 32}
{'time': 204, 'latitude': 22.61174, 'longitude': 113.8347, 'index': 33}
{'time': 210, 'latitude': 22.61176, 'longitude': 113.8347, 'index': 34}
{'time': 216, 'latitude': 22.61176, 'longitude': 113.8347, 'index': 35}
{'time': 222, 'latitude': 22.61175, 'longitude': 113.8347, 'index': 36}
{'time': 229, 'latitude': 22.61176, 'longitude': 113.8346, 'index': 37}
{'time': 235, 'latitude': 22.61176, 'longitude': 113.8346, 'index': 38}
{'time': 241, 'latitude': 22.61177, 'longitude': 113.8346, 'index': 39}
{'time': 247, 'latitude': 22.61176, 'longitude': 113.8346, 'index': 40}
{'time': 253, 'latitude': 22.61176, 'longitude': 113.8346, 'index': 41}
{'time': 259, 'latitude': 22.61176, 'longitude': 113.8346, 'index': 42}
{'time': 266, 'latitude': 22.61176, 'longitude': 113.8346, 'index': 43}
{'time': 272, 'latitude': 22.61174, 'longitude': 113.8346, 'index': 44}
{'time': 278, 'latitude': 22.61171, 'longitude': 113.8347, 'index': 45}
{'time': 284, 'latitude': 22.61166, 'longitude': 113.8348, 'index': 46}
{'time': 290, 'latitude': 22.61165, 'longitude': 113.8347, 'index': 47}
{'time': 296, 'latitude': 22.61162, 'longitude': 113.8348, 'index': 48}
{'time': 303, 'latitude': 22.61165, 'longitude': 113.8347, 'index': 49}
{'time': 309, 'latitude': 22.61166, 'longitude': 113.8347, 'index': 50}
{'time': 315, 'latitude': 22.61167, 'longitude': 113.8347, 'index': 51}
{'time': 321, 'latitude': 22.61165, 'longitude': 113.8347, 'index': 52}
{'time': 327, 'latitude': 22.61167, 'longitude': 113.8348, 'index': 53}
{'time': 333, 'latitude': 22.61167, 'longitude': 113.8347, 'index': 54}
{'time': 340, 'latitude': 22.61168, 'longitude': 113.8347, 'index': 55}
{'time': 346, 'latitude': 22.61166, 'longitude': 113.8347, 'index': 56}
{'time': 352, 'latitude': 22.61165, 'longitude': 113.8347, 'index': 57}
{'time': 358, 'latitude': 22.61162, 'longitude': 113.8347, 'index': 58}
{'time': 364, 'latitude': 22.61159, 'longitude': 113.8346, 'index': 59}
{'time': 371, 'latitude': 22.61159, 'longitude': 113.8347, 'index': 60}
{'time': 377, 'latitude': 22.61155, 'longitude': 113.8347, 'index': 61}
{'time': 383, 'latitude': 22.61159, 'longitude': 113.8348, 'index': 62}
{'time': 389, 'latitude': 22.61166, 'longitude': 113.8347, 'index': 63}
{'time': 395, 'latitude': 22.61168, 'longitude': 113.8347, 'index': 64}
{'time': 401, 'latitude': 22.61168, 'longitude': 113.8347, 'index': 65}
{'time': 408, 'latitude': 22.61166, 'longitude': 113.8347, 'index': 66}
{'time': 414, 'latitude': 22.61185, 'longitude': 113.8345, 'index': 67}
{'time': 420, 'latitude': 22.61219, 'longitude': 113.8343, 'index': 68}
{'time': 426, 'latitude': 22.61253, 'longitude': 113.8341, 'index': 69}
{'time': 432, 'latitude': 22.61294, 'longitude': 113.8339, 'index': 70}
{'time': 438, 'latitude': 22.61325, 'longitude': 113.8338, 'index': 71}
{'time': 445, 'latitude': 22.61347, 'longitude': 113.8337, 'index': 72}
{'time': 451, 'latitude': 22.61353, 'longitude': 113.8337, 'index': 73}
{'time': 457, 'latitude': 22.61365, 'longitude': 113.8337, 'index': 74}
{'time': 463, 'latitude': 22.61387, 'longitude': 113.8337, 'index': 75}
{'time': 469, 'latitude': 22.61399, 'longitude': 113.8339, 'index': 76}
{'time': 475, 'latitude': 22.61416, 'longitude': 113.8342, 'index': 77}
{'time': 482, 'latitude': 22.61418, 'longitude': 113.8344, 'index': 78}
{'time': 488, 'latitude': 22.61428, 'longitude': 113.8346, 'index': 79}
{'time': 494, 'latitude': 22.61426, 'longitude': 113.8346, 'index': 80}
{'time': 500, 'latitude': 22.61429, 'longitude': 113.8347, 'index': 81}
{'time': 506, 'latitude': 22.61436, 'longitude': 113.8349, 'index': 82}
{'time': 512, 'latitude': 22.61453, 'longitude': 113.8352, 'index': 83}
{'time': 519, 'latitude': 22.61486, 'longitude': 113.8354, 'index': 84}
{'time': 525, 'latitude': 22.61518, 'longitude': 113.8357, 'index': 85}
{'time': 531, 'latitude': 22.61505, 'longitude': 113.8361, 'index': 86}
{'time': 537, 'latitude': 22.61513, 'longitude': 113.8362, 'index': 87}
{'time': 543, 'latitude': 22.61522, 'longitude': 113.8363, 'index': 88}
{'time': 549, 'latitude': 22.61539, 'longitude': 113.8363, 'index': 89}
{'time': 556, 'latitude': 22.61566, 'longitude': 113.8362, 'index': 90}
{'time': 562, 'latitude': 22.61594, 'longitude': 113.836, 'index': 91}
{'time': 568, 'latitude': 22.61608, 'longitude': 113.836, 'index': 92}
{'time': 574, 'latitude': 22.61627, 'longitude': 113.8359, 'index': 93}
{'time': 580, 'latitude': 22.61652, 'longitude': 113.8357, 'index': 94}
{'time': 586, 'latitude': 22.61676, 'longitude': 113.8356, 'index': 95}
{'time': 593, 'latitude': 22.61692, 'longitude': 113.8355, 'index': 96}
{'time': 599, 'latitude': 22.61708, 'longitude': 113.8355, 'index': 97}
{'time': 605, 'latitude': 22.61734, 'longitude': 113.8354, 'index': 98}
{'time': 611, 'latitude': 22.61768, 'longitude': 113.8352, 'index': 99}
{'time': 617, 'latitude': 22.61793, 'longitude': 113.8351, 'index': 100}
{'time': 623, 'latitude': 22.61814, 'longitude': 113.835, 'index': 101}
{'time': 630, 'latitude': 22.61836, 'longitude': 113.8349, 'index': 102}
{'time': 636, 'latitude': 22.61855, 'longitude': 113.8348, 'index': 103}
{'time': 642, 'latitude': 22.6187, 'longitude': 113.8348, 'index': 104}
{'time': 648, 'latitude': 22.61871, 'longitude': 113.8348, 'index': 105}
{'time': 654, 'latitude': 22.6187, 'longitude': 113.8348, 'index': 106}
{'time': 661, 'latitude': 22.61869, 'longitude': 113.8348, 'index': 107}
{'time': 667, 'latitude': 22.6186, 'longitude': 113.8348, 'index': 108}
{'time': 673, 'latitude': 22.61841, 'longitude': 113.8349, 'index': 109}
{'time': 679, 'latitude': 22.61819, 'longitude': 113.835, 'index': 110}
{'time': 685, 'latitude': 22.61806, 'longitude': 113.835, 'index': 111}
{'time': 691, 'latitude': 22.61804, 'longitude': 113.835, 'index': 112}
{'time': 698, 'latitude': 22.61804, 'longitude': 113.835, 'index': 113}
